ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma20,ma60
600587.SH,20250715,15.3,15.33,15.1,15.16,15.39,-0.23,-1.4945,103735.05,157397.7,,
600587.SH,20250716,15.18,15.2,15.1,15.17,15.16,0.01,0.066,77249.59,116933.504,,
600587.SH,20250717,15.17,15.24,15.14,15.23,15.17,0.06,0.3955,58935.8,89499.889,,
600587.SH,20250718,15.24,15.95,15.19,15.65,15.23,0.42,2.7577,214182.66,333027.795,,
600587.SH,20250721,15.67,15.97,15.58,15.78,15.65,0.13,0.8307,179612.77,284098.98,,
600587.SH,20250722,15.85,16.28,15.82,16.28,15.78,0.5,3.1686,241023.09,389306.513,,
600587.SH,20250723,16.22,16.42,16.04,16.06,16.28,-0.22,-1.3514,142622.9,231210.047,,
600587.SH,20250724,16.09,16.61,16.09,16.54,16.06,0.48,2.9888,179006.44,293209.535,,
600587.SH,20250725,16.58,16.67,16.35,16.38,16.54,-0.16,-0.9674,124034.39,204544.885,,
600587.SH,20250728,16.4,16.5,16.24,16.28,16.38,-0.1,-0.6105,111550.08,182447.113,,
600587.SH,20250729,16.28,16.29,16.05,16.26,16.28,-0.02,-0.1229,106506.8,172265.285,,
600587.SH,20250730,16.25,17.17,16.19,16.81,16.26,0.55,3.3825,301706.44,505914.474,,
600587.SH,20250731,16.8,16.99,16.55,16.61,16.81,-0.2,-1.1898,177913.51,297511.278,,
600587.SH,20250801,16.61,17.05,16.53,16.61,16.61,0.0,0.0,131600.56,220553.329,,
600587.SH,20250804,16.41,17.08,16.32,16.89,16.61,0.28,1.6857,181508.74,302880.844,,
600587.SH,20250805,17.64,18.51,16.88,16.94,16.89,0.05,0.296,396163.47,695597.147,,
600587.SH,20250806,16.8,17.2,16.62,17.16,16.94,0.22,1.2987,240437.57,408383.5,,
600587.SH,20250807,17.15,17.49,16.99,17.04,17.16,-0.12,-0.6993,173365.03,297184.365,,
600587.SH,20250808,17.0,17.54,16.94,17.37,17.04,0.33,1.9366,193592.61,335115.695,,
600587.SH,20250811,17.55,18.62,17.47,18.14,17.37,0.77,4.4329,378593.43,690846.917,16.418,
600587.SH,20250812,18.21,18.46,17.88,17.9,18.14,-0.24,-1.323,220104.66,398918.143,16.555,
600587.SH,20250813,17.82,18.09,17.56,17.96,17.9,0.06,0.3352,221255.3,394469.847,16.6945,
600587.SH,20250814,17.94,17.95,17.23,17.23,17.96,-0.73,-4.0646,177285.85,310697.761,16.7945,
600587.SH,20250815,17.25,17.64,17.25,17.57,17.23,0.34,1.9733,132915.87,232385.163,16.8905,
600587.SH,20250818,17.5,17.75,17.23,17.3,17.57,-0.27,-1.5367,207209.15,361352.443,16.9665,
600587.SH,20250819,17.45,17.65,17.18,17.21,17.3,-0.09,-0.5202,183307.3,318905.756,17.013,
600587.SH,20250820,17.12,17.33,17.06,17.33,17.21,0.12,0.6973,142740.27,245002.356,17.076500000000003,
600587.SH,20250821,17.33,17.39,17.19,17.25,17.33,-0.08,-0.4616,120929.61,208800.105,17.112000000000002,
