ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma20,ma60
688146.SH,2025-06-30,28.43,29.29,28.35,28.91,28.38,0.53,1.8675,46738.08,134974.877,,
688146.SH,2025-07-01,28.91,30.6,28.71,30.08,28.91,1.17,4.047,112599.0,337277.121,,
688146.SH,2025-07-02,30.07,30.26,29.4,29.56,30.08,-0.52,-1.7287,65112.58,193570.655,,
688146.SH,2025-07-03,29.34,29.71,29.21,29.33,29.39,-0.06,-0.2042,41440.14,121794.764,,
688146.SH,2025-07-04,29.35,29.45,28.74,28.81,29.33,-0.52,-1.7729,46680.62,135020.909,,
688146.SH,2025-07-07,28.68,30.29,28.6,29.65,28.81,0.84,2.9157,81439.32,240505.789,,
688146.SH,2025-07-08,29.39,29.9,29.16,29.64,29.65,-0.01,-0.0337,57009.36,168644.457,,
688146.SH,2025-07-09,29.62,29.73,29.12,29.22,29.64,-0.42,-1.417,44001.52,129262.388,,
688146.SH,2025-07-10,29.22,29.29,29.0,29.19,29.22,-0.03,-0.1027,33198.67,96713.388,,
688146.SH,2025-07-11,29.1,29.69,29.02,29.48,29.19,0.29,0.9935,47778.02,140478.716,,
688146.SH,2025-07-14,29.39,30.08,29.39,29.75,29.48,0.27,0.9159,52754.55,157108.132,,
688146.SH,2025-07-15,29.79,29.94,29.26,29.45,29.75,-0.3,-1.0084,37978.95,112188.516,,
688146.SH,2025-07-16,29.6,29.92,29.45,29.56,29.45,0.11,0.3735,33636.34,99854.063,,
688146.SH,2025-07-17,29.43,29.95,29.43,29.88,29.56,0.32,1.0825,34297.12,101975.986,,
688146.SH,2025-07-18,30.0,30.1,29.72,29.89,29.88,0.01,0.0335,30418.71,90782.103,,
688146.SH,2025-07-21,30.0,30.16,29.81,30.02,29.89,0.13,0.4349,36802.09,110362.601,,
688146.SH,2025-07-22,29.94,30.35,29.87,30.03,30.02,0.01,0.0333,47383.73,142370.486,,
688146.SH,2025-07-23,30.03,30.05,29.63,29.72,30.03,-0.31,-1.0323,43713.12,130479.134,,
688146.SH,2025-07-24,29.64,30.09,29.64,30.09,29.72,0.37,1.245,44566.56,133582.386,,
688146.SH,2025-07-25,30.18,30.59,30.02,30.39,30.09,0.3,0.997,45317.39,137071.932,29.6325,
688146.SH,2025-07-28,30.39,30.51,30.17,30.33,30.39,-0.06,-0.1974,35719.48,108434.45,29.703500000000002,
688146.SH,2025-07-29,30.38,30.6,30.17,30.42,30.33,0.09,0.2967,40875.43,124173.345,29.720499999999998,
688146.SH,2025-07-30,30.4,30.91,30.0,30.33,30.42,-0.09,-0.2959,45851.62,139626.576,29.759000000000004,
688146.SH,2025-07-31,30.1,30.36,29.51,29.67,30.33,-0.66,-2.1761,54543.54,163231.396,29.776,
688146.SH,2025-08-01,29.53,30.0,29.53,29.71,29.67,0.04,0.1348,28296.92,84189.229,29.821000000000005,
688146.SH,2025-08-04,29.68,30.5,29.54,30.33,29.71,0.62,2.0868,33535.47,100931.967,29.854999999999997,
688146.SH,2025-08-05,30.41,30.57,30.31,30.45,30.33,0.12,0.3956,32490.32,98860.034,29.8955,
688146.SH,2025-08-06,31.68,34.56,31.31,32.95,30.45,2.5,8.2102,187349.73,616912.82,30.082,
688146.SH,2025-08-07,32.95,33.39,32.32,32.4,32.95,-0.55,-1.6692,110147.07,359239.607,30.2425,
688146.SH,2025-08-08,33.8,36.2,33.8,34.77,32.4,2.37,7.3148,223131.76,780612.336,30.506999999999998,
688146.SH,2025-08-11,36.48,37.88,34.86,35.19,34.77,0.42,1.2079,216056.9,772644.157,30.778999999999996,
688146.SH,2025-08-12,36.0,37.98,34.7,37.38,35.19,2.19,6.2234,232888.7,842635.298,31.1755,
688146.SH,2025-08-13,41.43,44.86,41.43,44.86,37.38,7.48,20.0107,310402.4,1375669.241,31.940499999999997,
