ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma20,ma60,trade_date_str,rsi,dif,dea,macd_hist,bb_mid,bb_upper,bb_lower,k,d,j
688146.SH,2025-06-30,28.43,29.29,28.35,28.91,28.38,0.53,1.8675,46738.08,134974.877,,,2025-06-30,,0.0,0.0,0.0,,,,50.0,50.0,0.0
688146.SH,2025-07-01,28.91,30.6,28.71,30.08,28.91,1.17,4.047,112599.0,337277.121,,,2025-07-01,,0.09333333333333371,0.018666666666666745,0.14933333333333393,,,,49.99999999999999,49.99999999999999,0.0
688146.SH,2025-07-02,30.07,30.26,29.4,29.56,30.08,-0.52,-1.7287,65112.58,193570.655,,,2025-07-02,,0.12391263057929791,0.03971585944919298,0.16839354226020986,,,,49.99999999999999,49.99999999999999,0.0
688146.SH,2025-07-03,29.34,29.71,29.21,29.33,29.39,-0.06,-0.2042,41440.14,121794.764,,,2025-07-03,,0.1281110813494486,0.0573949038292441,0.141432355040409,,,,49.99999999999999,49.99999999999999,0.0
688146.SH,2025-07-04,29.35,29.45,28.74,28.81,29.33,-0.52,-1.7729,46680.62,135020.909,,,2025-07-04,,0.08845902903147973,0.06360772886969124,0.049702600323576984,,,,49.99999999999999,49.99999999999999,0.0
688146.SH,2025-07-07,28.68,30.29,28.6,29.65,28.81,0.84,2.9157,81439.32,240505.789,,,2025-07-07,,0.12339307318086412,0.07556479773192581,0.09565655089787661,,,,49.99999999999999,49.99999999999999,0.0
688146.SH,2025-07-08,29.39,29.9,29.16,29.64,29.65,-0.01,-0.0337,57009.36,168644.457,,,2025-07-08,,0.1485591411249061,0.09016366641052187,0.11679094942876844,,,,49.99999999999999,49.99999999999999,0.0
688146.SH,2025-07-09,29.62,29.73,29.12,29.22,29.64,-0.42,-1.417,44001.52,129262.388,,,2025-07-09,,0.1330788907548488,0.09874671127938725,0.0686643589509231,,,,49.99999999999999,49.99999999999999,0.0
688146.SH,2025-07-10,29.22,29.29,29.0,29.19,29.22,-0.03,-0.1027,33198.67,96713.388,,,2025-07-10,,0.11704075851899276,0.10240552072730835,0.029270475583368816,,,,45.77777777777777,48.59259259259258,-8.444444444444429
688146.SH,2025-07-11,29.1,29.69,29.02,29.48,29.19,0.29,0.9935,47778.02,140478.716,,,2025-07-11,,0.1262753756160393,0.10717949170505454,0.03819176782196951,,,,45.18518518518516,47.45679012345677,-6.814814814814838
688146.SH,2025-07-14,29.39,30.08,29.39,29.75,29.48,0.27,0.9159,52754.55,157108.132,,,2025-07-14,,0.15360990040015565,0.11646557344407477,0.07428865391216177,,,,52.805902549492274,49.23982759880194,10.698224852071007
688146.SH,2025-07-15,29.79,29.94,29.26,29.45,29.75,-0.3,-1.0084,37978.95,112188.516,,,2025-07-15,,0.14934367451420627,0.12304119365810107,0.05260496171221041,,,,51.96922102905006,50.149625408884646,5.458786860496247
688146.SH,2025-07-16,29.6,29.92,29.45,29.56,29.45,0.11,0.3735,33636.34,99854.063,,,2025-07-16,,0.15307419640396702,0.12904779420727425,0.04805280439338555,,,,53.58105859530356,51.29343647102428,6.862866372837857
688146.SH,2025-07-17,29.43,29.95,29.43,29.88,29.56,0.32,1.0825,34297.12,101975.986,,,2025-07-17,,0.1797796002047285,0.1391941554067651,0.08117088959592678,,,,60.967254053673756,54.51804233190744,19.347635165298982
688146.SH,2025-07-18,30.0,30.1,29.72,29.89,29.88,0.01,0.0335,30418.71,90782.103,,,2025-07-18,87.40746554345588,0.19945158779558625,0.15124564188452935,0.0964118918221138,,,,67.61453300547944,58.883539223098104,26.192981347144013
688146.SH,2025-07-21,30.0,30.16,29.81,30.02,29.89,0.13,0.4349,36802.09,110362.601,,,2025-07-21,87.61003835972272,0.22296153148876385,0.16558881980537626,0.11474542336677518,,,,74.38670016457249,64.05125953692288,31.00632188294881
688146.SH,2025-07-22,29.94,30.35,29.87,30.03,30.02,0.01,0.0333,47383.73,142370.486,,,2025-07-22,87.62652761124423,0.23963785168724883,0.1803986261817508,0.11847845101099608,,,,75.02323220848041,67.70858376077538,21.943945343115075
688146.SH,2025-07-23,30.03,30.05,29.63,29.72,30.03,-0.31,-1.0323,43713.12,130479.134,,,2025-07-23,83.8988909198258,0.22524308430216422,0.1893675178058335,0.07175113299266145,,,,67.5593477881097,67.65883843655348,-0.2984719453313289
688146.SH,2025-07-24,29.64,30.09,29.64,30.09,29.72,0.37,1.245,44566.56,133582.386,,,2025-07-24,84.73364408135228,0.24091392940726664,0.19967680012612013,0.08247425856229301,,,,70.42182818901497,68.5798350207073,5.525979504923015
