ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma20,ma60,upper_channel,lower_channel,mid_channel,tr,atr,signal,position,entry_price,stop_loss,trade_type,daily_return,strategy_return,strategy_nav,buy_hold_nav
688146.SH,2025-06-30,28.43,29.29,28.35,28.91,28.38,0.53,1.8675,46738.08,134974.877,,,,,,0.9399999999999977,,0,0,,,,,,,
688146.SH,2025-07-01,28.91,30.6,28.71,30.08,28.91,1.17,4.047,112599.0,337277.121,,,,,,1.8900000000000006,,0,0,,,,0.040470425458318804,0.0,1.0,1.0404704254583188
688146.SH,2025-07-02,30.07,30.26,29.4,29.56,30.08,-0.52,-1.7287,65112.58,193570.655,,,,,,0.860000000000003,,0,0,,,,-0.017287234042553168,-0.0,1.0,1.022483569699066
688146.SH,2025-07-03,29.34,29.71,29.21,29.33,29.39,-0.06,-0.2042,41440.14,121794.764,,,,,,0.5,,0,0,,,,-0.00778078484438427,-0.0,1.0,1.0145278450363195
688146.SH,2025-07-04,29.35,29.45,28.74,28.81,29.33,-0.52,-1.7729,46680.62,135020.909,,,,,,0.7100000000000009,,0,0,,,,-0.01772928741902491,-0.0,1.0,0.9965409892770667
688146.SH,2025-07-07,28.68,30.29,28.6,29.65,28.81,0.84,2.9157,81439.32,240505.789,,,,,,1.6899999999999977,,0,0,,,,0.029156542867060153,0.0,1.0,1.025596679349706
688146.SH,2025-07-08,29.39,29.9,29.16,29.64,29.65,-0.01,-0.0337,57009.36,168644.457,,,,,,0.7399999999999984,,0,0,,,,-0.00033726812816181617,-0.0,1.0,1.0252507782774127
688146.SH,2025-07-09,29.62,29.73,29.12,29.22,29.64,-0.42,-1.417,44001.52,129262.388,,,,,,0.6099999999999994,,0,0,,,,-0.014170040485830038,-0.0,1.0,1.010722933241093
688146.SH,2025-07-10,29.22,29.29,29.0,29.19,29.22,-0.03,-0.1027,33198.67,96713.388,,,,,,0.28999999999999915,,0,0,,,,-0.0010266940451744144,-0.0,1.0,1.0096852300242132
688146.SH,2025-07-11,29.1,29.69,29.02,29.48,29.19,0.29,0.9935,47778.02,140478.716,,,,,,0.6700000000000017,,0,0,,,,0.009934909215484788,0.0,1.0,1.0197163611207196
688146.SH,2025-07-14,29.39,30.08,29.39,29.75,29.48,0.27,0.9159,52754.55,157108.132,,,,28.35,,0.6899999999999977,,0,0,,,,0.00915875169606517,0.0,1.0,1.0290556900726393
688146.SH,2025-07-15,29.79,29.94,29.26,29.45,29.75,-0.3,-1.0084,37978.95,112188.516,,,,28.6,,0.6799999999999997,,0,0,,,,-0.010084033613445453,-0.0,1.0,1.0186786579038396
688146.SH,2025-07-16,29.6,29.92,29.45,29.56,29.45,0.11,0.3735,33636.34,99854.063,,,,28.6,,0.4700000000000024,,0,0,,,,0.0037351443123938566,0.0,1.0,1.0224835696990662
688146.SH,2025-07-17,29.43,29.95,29.43,29.88,29.56,0.32,1.0825,34297.12,101975.986,,,,28.6,,0.5199999999999996,0.8042857142857142,0,0,,,,0.010825439783491264,0.0,1.0,1.0335524040124526
688146.SH,2025-07-18,30.0,30.1,29.72,29.89,29.88,0.01,0.0335,30418.71,90782.103,,,,28.6,,0.38000000000000256,0.7642857142857145,0,0,,,,0.00033467202141901353,0.0,1.0,1.033898305084746
688146.SH,2025-07-21,30.0,30.16,29.81,30.02,29.89,0.13,0.4349,36802.09,110362.601,,,,28.6,,0.3500000000000014,0.6542857142857146,0,0,,,,0.004349280695884916,0.0,1.0,1.0383950190245592
688146.SH,2025-07-22,29.94,30.35,29.87,30.03,30.02,0.01,0.0333,47383.73,142370.486,,,,29.0,,0.4800000000000004,0.6271428571428572,0,0,,,,0.00033311125916068995,0.0,1.0,1.0387409200968527
688146.SH,2025-07-23,30.03,30.05,29.63,29.72,30.03,-0.31,-1.0323,43713.12,130479.134,,,,29.0,,0.4200000000000017,0.6214285714285717,0,0,,,,-0.010323010323010418,-0.0,1.0,1.0280179868557595
